	scenario_title	search_nums	image_path	target_price_buyer	target_price_seller	description_buyer	description_seller
1184	Table	5700000000	furniture/6139246266_0.jpg	27	30	"I bought this at the Alameda Flea Market a few years back. It's a great ""weathered"" blue but has a coat of poly to protect it. I believe it is an old sewing table made into a table. It has a handle on the bottom to lower and raise the wheels so you can roll it or let it sit."	"I bought this at the Alameda Flea Market a few years back. It's a great ""weathered"" blue but has a coat of poly to protect it. I believe it is an old sewing table made into a table. It has a handle on the bottom to lower and raise the wheels so you can roll it or let it sit. Wood top and lower shelf. Metal frame. Very sturdy and in great condition"
1270	Table	5700000000	furniture/6139246266_0.jpg	15	30	"I bought this at the Alameda Flea Market a few years back. It's a great ""weathered"" blue but has a coat of poly to protect it. I believe it is an old sewing table made into a table. It has a handle on the bottom to lower and raise the wheels so you can roll it or let it sit."	"I bought this at the Alameda Flea Market a few years back. It's a great ""weathered"" blue but has a coat of poly to protect it. I believe it is an old sewing table made into a table. It has a handle on the bottom to lower and raise the wheels so you can roll it or let it sit. Wood top and lower shelf. Metal frame. Very sturdy and in great condition"
1295	Table	5700000000	furniture/6139246266_0.jpg	21	30	"I bought this at the Alameda Flea Market a few years back. It's a great ""weathered"" blue but has a coat of poly to protect it. I believe it is an old sewing table made into a table. It has a handle on the bottom to lower and raise the wheels so you can roll it or let it sit."	"I bought this at the Alameda Flea Market a few years back. It's a great ""weathered"" blue but has a coat of poly to protect it. I believe it is an old sewing table made into a table. It has a handle on the bottom to lower and raise the wheels so you can roll it or let it sit. Wood top and lower shelf. Metal frame. Very sturdy and in great condition"
1252	Table	5700000000	furniture/6139246266_0.jpg	27	30	"I bought this at the Alameda Flea Market a few years back. It's a great ""weathered"" blue but has a coat of poly to protect it. I believe it is an old sewing table made into a table. It has a handle on the bottom to lower and raise the wheels so you can roll it or let it sit."	"I bought this at the Alameda Flea Market a few years back. It's a great ""weathered"" blue but has a coat of poly to protect it. I believe it is an old sewing table made into a table. It has a handle on the bottom to lower and raise the wheels so you can roll it or let it sit. Wood top and lower shelf. Metal frame. Very sturdy and in great condition"
368	Entertainment center/ Media center	2710000000		304	400	Beautiful entertainment center/Media center.  Three pieces... Oak with CD/DVD doors.  Subfoofer compartment... speaker compartments... glass shelves to display your decorative pieces.	Beautiful entertainment center/Media center.  Three pieces... Oak with CD/DVD doors.  Subfoofer compartment... speaker compartments... glass shelves to display your decorative pieces.
25	Entertainment center/ Media center	2710000000		304	400	Beautiful entertainment center/Media center.  Three pieces... Oak with CD/DVD doors.  Subfoofer compartment... speaker compartments... glass shelves to display your decorative pieces.	Beautiful entertainment center/Media center.  Three pieces... Oak with CD/DVD doors.  Subfoofer compartment... speaker compartments... glass shelves to display your decorative pieces.
12	Entertainment center/ Media center	2710000000		368	400	Beautiful entertainment center/Media center.  Three pieces... Oak with CD/DVD doors.  Subfoofer compartment... speaker compartments... glass shelves to display your decorative pieces.	Beautiful entertainment center/Media center.  Three pieces... Oak with CD/DVD doors.  Subfoofer compartment... speaker compartments... glass shelves to display your decorative pieces.
370	coffee table	2680000000	furniture/6126302191_0.jpg	230	250	"hexagon table is 27"" at the widest(corner to corner) 19"" tall"	"hexagon table is 27"" at the widest(corner to corner) 19"" tall coffee table is 72"" long x 25"" wide x 15"" high"
69	coffee table	2680000000	furniture/6126302191_0.jpg	230	250	"hexagon table is 27"" at the widest(corner to corner) 19"" tall"	"hexagon table is 27"" at the widest(corner to corner) 19"" tall coffee table is 72"" long x 25"" wide x 15"" high"
110	Coffee Table	2560000000	furniture/6138803721_0.jpg	128	140	Excellent cappuccino colored wooden coffee table from Pier 1 Imports. Absolutely no issues. 42 x 20 x 18in. I am located in Sunset, SF.	Excellent cappuccino colored wooden coffee table from Pier 1 Imports. Absolutely no issues. 42 x 20 x 18in. I am located in Sunset, SF.
