price_yen	product_name	brand	selling_rank	review1_ja		review1_en	review2_ja	review2_en	review3_ja	review3_en	review4_ja	review4_en	review5_ja	review5_en	shorten_url
4351	Closet storage rack with casters	YAMAZEN	amazon_55	漫画本や、工具ケース、薬箱など入れて使ってます。本棚の高さが変えれるので便利。	I put cartoon books, tool cases, medicine boxes etc in this. It is convenient because that bookcase height can be changed	作りがとてもしっかりしていて、安心感があります。その分、動かすのには重いので、出し入れが頻繁でないものの収納によいと思いました。アルバムや自作のDVDなどがすっきりおさまりました。	This is very solid making, there is a sense of security. Because it is heavy to move accordingly, I thought that it is good for storage of items that are not frequently inserted / removed. I cleared up the album and my own DVDs clearly.	意外としっかりした作りで自分用の小物収納ラックとして重宝してます。	It is surprisingly solid making, it is useful as a small storage rack for yourself.	テレビ台として使っています。キャスターがついているので移動できて非常にいいです。	I use it as a TV stand. It's very nice to move because the casters are on.	左側二段に結構な量のA4サイズの本が入る。後ろの杭が利いているため、安定感有り。	There are quite a few A4 size books on the left side. It is stable because the back pile is turned on.	https://amzn.to/2T85UiP
4680	Closet storage box with casters		BON FURNITURE(bon kagu)	amazon_46	重たい書籍を簡単に移動でき置き場所を変更できるので思っていた通りの商品でした。	It was easy to move heavy books and change the place to place, so it was the product I expected.	組立も特に問題無く完成しました。棚の高さが細かく調整できるので便利ですね。	Assembly was completed without particular problems. It is convenient because the height of the shelf can be adjusted finely.	None	None	None	None	None	None	https://amzn.to/2sGpvLs
4880	Bookshelf - Flap rack	IRIS OHYAMA	amazon_53	コチラはフラップの幅が550mm程度ですので適宜と判断いたしました。少し見えなくするだけですぐに取り出せるというのは便利です。だいぶ汚部屋がスッキリしました。	Since the width of the flap is about 550 mm, I judged it to be appropriate. It is convenient to be able to take out immediately after making it invisible a little. The dirty room was very clean.	リビング収納として買いました。隠す収納としてオシャレでいいです。	I bought it as a living room. This is fashionable as hiding storage.	None	None	None	None	None	None	https://amzn.to/2R7DILv
4890	Storage rack - stork	DORIS	yahoo_54	色合い、デザイン使い勝手も良いのですが、見かけ軽そうですが思ったより重かった。	Hue, design, usability is good. Apparently it seems light, but it was heavier than I thought.	リピートです。棚の高さ調整はもう少し細かく調整出来るとなお良し何ですが。	It is a repeat. It is still better if the height adjustment of the shelf can be adjusted finely.	お値段考えればコスパ最高。若干作りが微妙だけど購入して良かったです。	This is the best cost performance, considering the price. Although making slightly is subtle, it was good to purchase.	値段を考えると良い商品だと思います。思ったより重量がありました。	I think that it is a good product considering the price. It was heavier than I thought.	None	None	https://bit.ly/2Dqbc47
4980	Bookshelf, Comic rack, Book rack	IRIS OHYAMA	rakuten_9	オシャレ。収納量も多く、スライドなので本を探しやすいです。	Fashionable. The storage volume is also large, it is slide so it is easy to find a book.	組み立ても1人で30分くらいで出来、スライドもスムーズです。値段の割に良い買い物が出来ました。	Assembling can be done in about 30 minutes alone, and the slide is smooth. I could do a good shopping for the price.	かなり収納できます。ロフトに置くので高さは丁度良い。	It can be stored considerably. The height is exactly as it is placed on the loft.	私の息子の書庫に最適でした。	perfect for my son's library.	None	None	https://bit.ly/2AXAbdr
4990	Stacking bookshelf	YAMAZEN	amazon_41	探していたサイズにちょうど良かったです。組み立ても簡単で重宝しています。作りもしっかりしています。	It was just right for the size I was looking for. It is convenient and easy to assemble. This is also solid making.	低価格で組立容易です。CDやDVD,BDがすっきりとおさまりました。	It is easy to assemble at low price. CD, DVD, BD cleared up neatly.	価格と品質がマッチしていてちょうど良いです。組立も簡単で、満足しています。	It is just right that price and quality are matched. Assembly is also easy, I am satisfied.	サイズが丁度よかった。安定感もある。組み立ては二人でやると良さそうです。	The size was exactly right. There is also a sense of stability. Assembling should be done by two people.	組み立てがとっても簡単な上に、質もいいですね。手触りとか気に入りました！かなり満足してます。	Assembling is very easy, quality is also good. I liked the touch! I am quite satisfied.	https://amzn.to/2W8VpOf
5000	Multi-Wagon 2 set with casters	HIKARI CRAFT	rakutenDaily_106	キャスター付きなので移動が楽々なのがいいです。組み立ても私一人で簡単に出来ました。	Since it is equipped with casters, it is good to move easily. I could easily assemble it alone.	スッキリ収まりました！本・CD・DVDなど全て入りました！	I was able to store it cleanly! All books · CD · DVD etc. entered!	スリムで収納力あり。奥行きが文庫本にぴったりでした。普通に使っている分にはすぐに壊れたりしないと思います。	Slim and storage capacity. The depth was perfect for a paperback book. I think that it will not break soon as it is used normally.	None	None	None	None	https://bit.ly/2R1PGWF
5092	Magazine clearance storage rack	KanaeMina	rakutenDaily_105	None	None	None	None	None	None	None	None	None	None	https://bit.ly/2AWKVbL
5243	Thin stacked bookshelf(width 90 cm)	YAMAZEN	amazon_41	探していたサイズにちょうど良かったです。組み立ても簡単で重宝しています。作りもしっかりしています。	It was just right for the size I was looking for. It is convenient and easy to assemble. This is also solid making.	低価格で組立容易です。CDやDVD,BDがすっきりとおさまりました。	It is easy to assemble at low price. CD, DVD, BD cleared up neatly.	価格と品質がマッチしていてちょうど良いです。組立も簡単で、満足しています。	It is just right that price and quality are matched. Assembly is also easy, I am satisfied.	サイズが丁度よかった。安定感もある。組み立ては二人でやると良さそうです。	The size was exactly right. There is also a sense of stability. Assembling should be done by two people.	組み立てがとっても簡単な上に、質もいいですね。手触りとか気に入りました！かなり満足してます。	Assembling is very easy, quality is also good. I liked the touch! I am quite satisfied.	https://amzn.to/2FQJDlY
5290	Thin stacked bookshelf(width 121 cm)	YAMAZEN	amazon_54	奥行きと高さは大判サイズがちょうどぴったり収まるサイズ。漫画の収納にはお勧めです。本棚の上にはちょっとしたものなら置けます。お値段もお手頃だと思います。	Depth and height are sizes that fit large size exactly exactly. It is recommended for storage of cartoons. You can put it on a bookshelf as a little thing. I think the price is also reasonable.	中学生一人でも組み立てられました。一時間くらいかかりましたが...。思ったより大きいです。	It took about an hour, but even one junior high school student was assembled. It is bigger than I expected.	組み立ても簡単で、女性一人でもできました。落ち着いたカラーで、寝室によく合いました。シンプルで使いやすく、漫画の完全版が並べられたのが嬉しいです。	Easy to assemble, even a single woman made it. With calm color, it fits well into the bedroom. It is simple and easy to use, I'm glad that the complete version of the cartoon was arranged.	思ったより、漫画も収納できしっかりしてました。かなり満足です。	I thought that cartoons could be stored more firmly than I expected. It is quite satisfactory.	収納力がある薄い本棚です。なかなかいいですね。また購入したいと思います。	It is a thin bookcase with storage power. It's pretty good. I would like to purchase again.	https://amzn.to/2FKg5r9
5389	Bookshelf - Natural	YAMAZEN	amazon_7	机の上に乗せると大量となる資料が、すべてこのラックに入りました。気に入って2個目も購入。いいですよ、この大きさ。	All the materials which become massive when put on the desk all entered this rack. I liked it and bought the second one. It's fine, this size.	キャスターが付いており書類整理にとても重宝。ガッチリしており期待通りです。	It has casters and is very handy for document arrangement. It is solid as expected.	子供の教科書や問題集を収納するのに使ってます。机に座って横を向いたときに目的のものがとりやすい。	I use it to store children's textbooks and problem collections. When sitting at the desk and looking sideways, it is easy to take what you want.	組み立てが少し難しかったですが、普通の机に入るちょうど良いサイズでした！	It was a little difficult to assemble, but it was just right size to enter a normal desk!	コストパフォーマンスが最高。仕事で、プロジェクト毎に一台使っています。移動できるので、フリーアドレスのオフィスに最適です。	Cost performance is the best. At work, I use one for each project. Because it can move, it is best for office with free address.	https://amzn.to/2AXmH1c
5411	Stacking bookshelf, Open rack	YAMAZEN	amazon_33	組立てやすく、部屋の大きさにも、マッチしてます。	Easy to assemble, I also match the size of the room.	とてもきれいな商品で組立も簡単でした。	The assembly was also easy with very pretty goods.	思った以上に本がいっぱい収納出来て助かりました！ただ、後ろ側は薄くてベコベコです。私は取り敢えずで買ったので満足しました。	I was saved because I could store more books than I thought! However, the back side is thin and becky. I was satisfied because I bought it for the time being.	安定感があり、色も気にいりました。奥行があり、ハンドメイドの人形を並べやすかったです。	There was a sense of stability, I liked the color. There was a depth, it was easy to arrange handmade dolls.	いろいろ収納できて良いと思います。ただ、レイアウトの自由度はあまり無いのかなって感じです。値段相応ですね。	I think that you can store it in various ways. However, it seems that there is not much flexibility in layout. The price is reasonable.	https://amzn.to/2Hrq32d
5480	S shaped display rack Lustina 4 steps	Ymworld	yahoo_11	価格の割には、しっかりとした作りでそこそこの重厚感あります。本棚を縦に横にとレイアウトを部屋の使い勝手に合わせて調整出来るので重宝しております。	For the price, there is a profound feeling with a firm making. It is handy because we can adjust book shelf lengthwise and layout according to the usability of the room.	テレビのサイドに2個配置して壁を有効活用してます！とっても満足です。デザインも良いですが、組み立てが簡単なところがまた良いですね！	I put 2 pieces on the side of the TV and effectively utilize the wall! I am very satisfied. The design is also good, but the place that is easy to assemble is also good!	お値段の割に非常にしっかりとした作りで大満足です！組立の際も説明書きが親切でスムーズに組み立てる事が出来ました。	I am very satisfied with making a very solid firm for the price! I was able to assemble the explanatory note kindly and smoothly even when assembling.	思ったよりも頑丈で、デザインも気に入ってます。造るときはハンマーがあると便利です。	It is sturdier than I thought, I like the design. When building, it is convenient to have a hammer.	寝室の殺風景さをなくそうと、少しオシャレなものにしました。とてもいい感じです。	I tried to make it a little stylish to lose the sterile view of the bedroom. It is a very nice feeling.	https://bit.ly/2RYbZkS
5481	Single slide bookshelf	Ricomen-Do, Interior hall (GENERATINO PASS Co, Ltd.)	yahoo_4	本も沢山入って大満足です。組み立てがスムーズにできました。ボードにも番号がふってあり、楽にできました。とても満足です。	I am satisfied very much that I entered a lot of books. The assembly was done smoothly. The board was also numbered, and it was easy. I am very satisfied.	今まで使用していたスライド本棚に代わるものを探していました。コンパクトでgood。良い買い物できました。価格もよし。	I was looking for an alternative to the slide bookshelf I was using. Compact and good. Good shopping was done. Price is also good.	収納力があって、私の希望通りでした。	There was storage capacity, it was as I wanted.	たくさん本が並べられて値段も手ごろで大変満足です。	Many books are arranged, the price is reasonable and very satisfied.	本を大量に収納出来て、またスライド棚もついているので、漫画本以外にも入れられて中々良いものだ。	I can store a lot of books and also have a slide rack, so it is good inside as well as comic books.	https://bit.ly/2T7lOdB
5690	Open rack(width 30 cm)	YAMAZEN	yahoo_94	長男のアパートの靴箱用に購入。わずかばかりある隙間にぴったりでした。作りもしっかりしています。	Purchased for shoebox of eldest son's apartment. It was perfect for just a few gaps. I am also solid making.	デッドスペースに丁度収まりました。転倒防止の対策はした方がいいと思います。	I just fit in the dead space. I think that it is better to take measures against falling over.	ぴったりの大きさで満足しました。	I was satisfied with the right size.	A4サイズも楽々入る大きさで、使い勝手も最高です。	It is the size that A4 size can easily enter, and usability is also perfect.	組み立てはちょっと大変でしたが満足の行く商品でした。	The assembly was a bit difficult but it was a satisfactory product.	https://bit.ly/2RTLtJp
5780	Bookshelf with doors	The shop of interior that you want	yahoo_49	スリムなのに収納力があり、デザインも良く購入して良かったです。	Although it was slim, there was storage capability, it was good to purchase the design well.	ちょっとした収納に。そんなに背は高くなく邪魔にもならず棚も位置決められるので使い勝手も良いかと思います。	To a little storage. I think that the usability is also good because the tall is not so tall and the shelves can be positioned without disturbing.	None	None	None	None	None	None	https://bit.ly/2T5Pckn
5936	Stacking bookshelf, Open rack	YAMAZEN	amazon_33	組み立てには30〜40分ほどで出来ます。女性でも出来る組み立てだと思います。色もシックでとても重宝してます。	It can be assembled in 30 to 40 minutes. I think that it is an assembly that women can do as well. The color is also chic and very handy.	デザイン、カラー、材質とも期待したとおりで満足です。机の周辺がうまく整理できました。	I am satisfied with design, color and material as expected. The circumference of the desk was well organized.	組み立て簡単連結なのですっきりしています。とても気にいっています。	It is easy to assemble and easy to connect, so it is neat. I like it very much.	DVD・BDの整理棚として購入。これくらいのサイズを探してて、他のショップではなかなか見つかりませんでした。この商品を見つけて一目ぼれ即購入！組み立ても簡単で、色・サイズとも文句なしの商品でした。	Purchased as a storage shelf for DVD / BD. I was looking for this size and it was hard to find in other shops. Find this product and buy it immediately at first sight! It was easy to assemble, it was color and size good and no commodity.	漫画本を入れるのに購入。いろいろな高さに変形できるので非常に満足しております。	Purchase to put cartoon books. I am very satisfied because it can be transformed into various heights.	https://amzn.to/2sCc1jX
5980	Bookcase - Thin, Low type	KAGUEMON	yahoo_35	1人でも1時間弱で完成しました。高さも幅も奥行きも欲しかったサイズで大変満足しています。文庫本はもちろん、ちょっと小物も置いたりして楽しめます。	Even 1 person completed in less than 1 hour. I am very happy with the size I wanted height, width and depth. Of course you can also enjoy placing small items as well as paperbacks.	文庫本専用の本棚。ずらっと背表紙がそろった様子は、図書館や書店みたいで大満足です。眺めてるだけでうっとりします。	Bookcase dedicated to paperback. It looks like libraries and bookstores seem to have a lot of back cover. I am enthusiastic just watching.	None	None	None	None	None	None	https://bit.ly/2HoypHR
5980	Flap Chest - Foria	Tansu no Gen	yahoo_72	会社のカタログ入れとして購入しました。とても見やすく、使いやすいです。	I purchased it as a company catalog. Very easy to see and easy to use.	白を買いました、とてもお気に入りです。作成する場所は広めにとることをおすすめします。	I bought white, it is my favorite. We recommend taking a place to create widely.	このお値段で買えたのは、お得感がありますね！満足です。	There is a sense of affinity that I could buy at this price! I am satisfied.	価格は安いし、デザインもオシャレでとても気に入りました。スライドの動きもスムーズです。	The price was cheap, I liked the design very fashionably. The movement of the slide is also smooth.	1時間ほどで完成しました。沢山入るのでとても便利です。	It was completed in about an hour. It is very convenient because it enters a lot.	https://bit.ly/2T2eVKm
5980	Bookshelf - slide single	Storage Department - Sofort	yahoo_81	コミックス・ＣＤ・ＤＶＤなど色々な物が沢山入って購入して良かったです。組み立てには、１時間ちょいで組み立てられるので特に難しくもなく出来ます。	It was good to purchase a lot of various things such as comics · CD · DVD. It is possible to assemble in less than an hour because it is assembled in about an hour.	とてもしっかりしていて、色も真っ白ではなく、自然な白という感じで気に入りました。	It was very solid and the color was not pure white, but I like the feeling of natural white.	すごくいい。この価格なのであまり期待はしてませんでしたが、しっかりしていてビックリ。組み立てもそれほど時間かからない。	Very good. I did not expect so much because it is this price, but I was surprised to be firm. It takes less time to assemble.	組み立ても簡単にできましたよ。どっしりとした重量感があり、存在感抜群、しかも使いやすくて棚を移動できます。	It was easy to assemble. There is a heavy weight feeling, outstanding presence, easy to use and can move the shelf.	一人暮らしでキッチンでの使用してます。ある程度の重量もありストック棚として使っておりスライド部も特に違和感無くスライドします。	I am using it in the kitchen because I live alone. There is also a certain weight and it is used as a stock shelf and the sliding part also slides without any discomfort.	https://bit.ly/2HlAoMW
5990	Bookshelf, 2 steps	YAMAZEN	amazon_7	質感および剛性感は高い。組み立ての説明書は比較的わかりやすい。棚に角度がついているため、取り出しやすい。また書籍に限らずショーディスプレイ的な使い方も可能。	Texture and rigidity are high. Assembly instructions are comparatively easy to understand. Because the shelf has an angle, it is easy to take out. Also it is possible to use it not only as a book but as a show display.	シンプルで実用本位。頑丈なので問題なく使えています。コストパフォーマンスはかなり良いと思います。	Simple and practical. It is rugged so you can use it without problems. I think the cost performance is quite good.	完成品はとても頑丈でA4ファイルをしっかり収納出来て、心配していたキャスターもスムーズに動くので、とても良いです。	The finished product is very sturdy, it can store A4 file securely, and the casters who were worried also move smoothly, so it is very good.	思ったより頑丈で、チープさがあまりありません。ファイルを取り出しやすい斜め仕様で、使い勝手もよろしい。	It is more rugged than I thought and there is not much cheapness. It is slanted specification that makes it easy to retrieve files, and it is user-friendly.	子どもが勉強をリビングでするので、教科書、辞書、参考書を自分の部屋から運ぶのに便利です。価格も安くて良い商品です。	Children are studying in the living room, so it is convenient to carry textbooks, dictionaries, reference books from their own rooms. The price is also cheap and good product.	https://amzn.to/2T7EsBY
5990	Open rack, low type	YAMAZEN	amazon_40	見た目から受ける収納機能通りの機能です。上に物を置いても丁度良い高さなのも良く、実質的には最上段にもう一つ収納スペースがあると考えても良いくらいです。	It is a function as per the storage function received from the appearance. Even if you place things on top it is good to have a good height, it is practically enough to think that there is another storage space in the top row.	低めのものを探していましたが、容量もあり希望通りでした。気に入っています。	I was looking for a lower one, but there was capacity and it was as you wanted. I like it.	値段相応の品質です。可動棚が便利です。強度も申し分ありません。	The price is reasonable. A movable shelf is convenient. The strength is also perfect.	None	None	None	None	https://amzn.to/2sHfpdr
6039	Living storage	Fuji Boeki	amazon_100	本体だけでなく、棚材までもとてもしっかりしていました。板がカラーボックス程度かと思っていたのでうれしい誤算です。	Not only the main body, but also the shelves were very solid. It is a nice miscalculation because I thought that the board is about a color box.	上下二分割式で組み立てやすくよかったです。	It was easy to assemble with upper and lower split type.	None	None	None	None	None	None	https://amzn.to/2U1XARQ
