price_yen	product_name	brand	selling_rank	review1_ja		review1_en	review2_ja	review2_en	review3_ja	review3_en	review4_ja	review4_en	review5_ja	review5_en	shorten_url
6980	Office Chair, high-back, movable	Tansu no Gen	amazon_35	座り心地が良く、背中が蒸れないので長時間の使用に向いていると思います。	I feel comfortable to sit on, I think that it is suitable for a long time because the back does not steam.	総じて良い商品です。梱包も製品も問題ありませんでした。	It is a good product overall. There was no problem with the packaging and the product.	見た目は値段以上にしっかりしています。座り心地はまずまずと言ったところです。	The appearance is firmer than the price. Sitting comfort is a fair saying.	None	None	None	None	https://amzn.to/2R8Fuf1
6980	Desk Chair with casters	SANWA Direct	amazon_97	おしゃれで安くて組み立ても簡単ですが、クッションがないのでややおしりが痛い時があります。	Fashionable, cheap and easy to assemble, but there is no cushion so there are times when the buttock hurts somewhat.	長時間使う椅子ではなく、短い作業のためならおしゃれで、背もたれもあるし、良いと思う。	It's not a long-time chair, it's stylish for short work, there is a backrest, I think it's good.	キャスターが転がりにくいということもないし、強度的にも問題なくいいお買い物をしたなと思っています。	I do not think that casters are hard to roll and I think that I shopped good without any problem.	None	None	None	None	https://amzn.to/2W5m9PE
7236	New Amuse 1000 without elbow rest	Kagukuro	yahoo_72	軽くても安定性があり、使いやすい椅子です。比較的安価で、組立も用意でした。コストパフォーマンスが良い製品です。	It is a lightweight chair that is stable and easy to use. It was relatively inexpensive, and assembly was also ready. It is a product with good cost performance.	組立簡単、座面と背もたれのクッションが大きく厚いので体楽々。良い買い物させて頂きました。	Easy to assemble, the cushion of the seat and backrest are large and so easy to body. I went shopping good.	座面の厚さ、柔らかさも十分でした。次回もコレを購入します。	The seat surface thickness and softness were also sufficient. I will also buy Korean next time.	None	None	None	None	https://bit.ly/2FQoZm5
7754	Office Chair, Amazon basic	Amazon	amazon_18	前の椅子は背中全体まで背もたれがあるタイプで、座ってて疲れないか心配でしたが問題なし。むしろ背筋が伸びて楽！	The former chair was a type with backrest up to the entire back, I was worried whether I was tired from sitting, but no problem. Rather, the back muscle stretches and it's comfortable!	廉価でしっかりした作り、親切な組み立て説明書と物的に悪いところは感じません。	I do not feel bad things about inexpensive making, firm assembling instructions and physical things.	思ったよりも肌触りがよく、また安定感もあり、あとはどれだけの耐久性があるかの問題だと思います。	I feel better than I thought, I also have a sense of stability, I think that the problem is how much durability it has.	None	None	None	None	https://amzn.to/2CGltY7
7780	Office Chair, 2 set	MY-HOME	yahoo_97	お買い得。事務所用に購入。少し小さいようですが、女性と小柄な男性が使用しているので問題なさそうです。この値段は最安だと思います。	Good deal. Purchased for the office. It seems to be a little small, but it seems that there is no problem as women and small men use it. I think that this price is the cheapest.	肘掛がついていたので買いました。まあまあの座り心地です。	I bought it because the arm rest was attached. It is so comfortable.	None	None	None	None	None	None	https://bit.ly/2RGQRAa
7980	Office Chair / PC Chair	Tansu no Gen	yahoo_40	リクライニング機能は無いですが、ディスクワークには丁度良いと感じました。	Although there is no reclining function, I felt that it is exactly good for disk work.	30分も掛からず組み立てれたのに、ものすごくしっかりした作りで座り心地もいいです。	Even though it was assembled in less than 30 minutes, it is quite solid and easy to sit comfortably.	作りもしっかりしていて、背中のフィット感・安定感がとてもいいです。デザインも気に入っています。	I am also solid and making fit and stability on the back is very good. I also like the design.	None	None	None	None	https://bit.ly/2S5bghM
7980	Casual Office Chair - PANNA	A la mode	rakuten_14	背もたれ低めでコンパクトなのにお尻しっかり。狭い部屋で使っても圧迫感ありません。お値段も手頃で良かったです。	Compact desk with lower back but firm butt well. There is no feeling of pressure even when using in a small room. The price was reasonable and good.	丸くてコロコロしてるので可愛いし、座り心地が良くて気持ちいいです。	It is cute because it is round because it is colocoro, it feels good comfortable to sit on.	座面、背もたれの厚みが分厚く安心。リクライニング機能あり。昇降幅が大きく、ガス圧の動きもスムーズ。	Seat surface, the thickness of the backrest is thick and secure. Reclining function available. Elevation width is large, movement of gas pressure is also smooth.	None	None	None	None	https://bit.ly/2T4WaWx
7980	Office Chair / OA Chair	DOSHISHA	rakuten_234	質感も良く、座り心地は非常に良いです。座面も適度な厚さが有り長時間での使用もおしりへの負担はかなり少ないです。	Good texture, comfortable to sit is very good. There is a moderate thickness on the seating surface, so the burden on the buttocks in a long time is quite small.	None	None	None	None	None	None	None	None	https://bit.ly/2RGT7aC
7990	Office Chair, mesh	LOWYA	yahoo_66	比較的高級感があり、メッシュも心地よい、ロッキングの硬さが調整出来るのもよい、腰パットを自由に移動出来るのもよい。	It has a relatively luxurious feeling, a mesh is comfortable, it is good to be able to adjust the hardness of the locking, it is also good that you can freely move the waist pad.	何よりもたれかかった時に頭まで支えてくれる背もたれには感動です。	I am moved by the backrest that supports my head when I lean again.	座面のクッション性はまぁまぁ。書かれているようにメッシュ素材の座面なのでオシリがムレません。	The cushioning nature of the seat surface is okay. Osiri is not stuffed as it is written because it is a seat surface of mesh material.	None	None	None	None	https://bit.ly/2FUFNbG
8480	Office Chair, with low repulsion cushion	SANWA Direct	rakuten_40	座った感じもふっくらで、長時間でもお尻が痛くならないです。	The feeling of sitting is also plump, and it will not hurt your butts even for a long time.	しっかりした座り心地で満足してます、椅子自体もしっかりしてます。	I am satisfied with a solid seating comfort, the chair itself is solid as well.	座席部分はクッションの厚みがあります。エアー式で上下しますので高さを調整しやすいです。	The seat part has thickness of the cushion. It is easy to adjust the height because it moves up and down with an air type.	None	None	None	None	https://bit.ly/2sHh7LR
8826	Desk Chair - NEXIS C01, black	PLUS	amazon_98	手頃な価格とデザインが良いので購入しましたが、クッションのへたりもなく、座った時の沈み込みも少なく、快適に使っています。	I bought it because affordable price and design is good, but I have not found any cushions, I seldom submerge when sitting, I use it comfortably.	クッションの硬さ具合など良く、大きさ的にも程よく、とても使い勝手の良い椅子です。	The condition of hardness of the cushion, etc. is good, moderately it is moderate, it is a very convenient chair.	座クッションは適度に固く、良い感じです。背もたれは、反力の固さ調整ができるので、硬めにしたら丁度良くなりました。	The seat cushion is moderately hard and feels good. The backrest can adjust the hardness of the reaction force, so it got better just if you made it harder.	None	None	None	None	https://amzn.to/2RImKbr
