price_yen	product_name	brand	selling_rank	review1_ja		review1_en	review2_ja	review2_en	review3_ja	review3_en	review4_ja	review4_en	review5_ja	review5_en	shorten_url
2480	Night table	BON KAGU	yahoo_31	高さもピッタリで、大きすぎず小さすぎずちょうどいいサイズ感でした。 色合いも可愛くてどんな部屋にも合いそうな感じがしました。	The height was also perfect, it was not too big, it was not too small, it was just right size feeling. The color was also cute and it felt like it would fit any room.	携帯、リモコンを置いてます。サイズ感もばっちりで重宝の一言です。	I'm putting a cell phone and a remote control. Size feeling is perfect and it is a word of handy hand.	価格も気に入ったし見た感じも、いいです。	I also liked the price and the feeling I saw is nice.	None	None	None	None	https://bit.ly/2FFq5la
2680	Side table, brown oak / black	IRIS OHYAMA	rakuten_27	スマホやタブレットなど、ベッドわきに置くところが欲しかったので購入しました。しっかりした作りで、落ち着いた色もいい感じです。	I bought it because I wanted to put aside a bed, such as a smartphone or a tablet. It is solid making, calm color is also good feeling.	狭い通路でもソファの角に付けて置けば邪魔にならずほっとしました。	Even with a narrow aisle, if you put it on the corner of the sofa it did not get in the way and I was relieved.	ソファの高さに合ってるから、姿勢が崩れにくくて楽です。見た目もオシャレです。	It fits the height of the sofa, so it is hard to lose its posture and is easy. It looks fashionable.	None	None	None	None	https://bit.ly/2UavsvP
2700	Side / Night table(width 40 cm)	MAX SHARE	rakuten_20	私はソファにあぐらで座るのでこの高さでジャストサイズでした。組み立ては数分で終わるほど簡単でした。	I sit with a sofa in a caulda so it was just size at this height. Assembly was easy enough to finish in a few minutes.	ベッドサイドの小物置きにと購入しました。組み立ても簡単で、しっかりとした作りで、多少重さもあり、助かりました。	I bought it for bedside small items. It was easy to assemble, firmly made, somewhat heavy, it was saved.	コストパフォーマンス最高！組み立て簡単。2段目に高さがあり使い勝手良い。見た目は値段相応。しっかりした商品です。オススメします。	Cost performance best! Easy to assemble. It is easy to use with height in the second row. It looks good for the price. It is a solid product. I will recommend it.	None	None	None	None	https://bit.ly/2Uaf8vm
2700	Multi table, sofa / bed side	Dantotsu-online	rakuten_50	収納時には簡単らくらくに折り畳め、テーブル角度も片手で簡単に変えられます。片手で持っても軽くて思った以上に良かった商品でした。	Easy to fold up easily when stored, you can easily change table angle with one hand. It was a light product and it was better than I expected.	机を処分した息子用に購入。ベッドに腰掛けてパソコンを使えるので、大変重宝しているようです。	Purchased for my son who dispose the desk. I seem to find it very useful as I can sit on the bed and use a personal computer.	母用に購入しました。サイズ感もちょうどよくて、大満足です。	I bought it for my mother. Size feeling is just right, I am satisfied very much.	少年野球のスコアラー用に。軽くて持ち運びしやすく、サイズや高さもぴったりで大活躍しそうです。	For a boy's baseball scorer. It is light and easy to carry, and it seems to be a big success with size and height perfect.	None	None	https://bit.ly/2U7Fr5a
2780	Elevating table, compact, already assembled	BON KAGU	rakuten_47	大変満足してます。組み立て不要なので収納時も簡単に折りたためるので便利です！軽いので持ち運びも楽！重宝してます。	I am very satisfied. Because it is unnecessary to assemble it is convenient because it can fold easily when stored! Easy to carry because it is light! I am useful.	角度も変わるし、大きさも 丁度良かったし、ソファの下に丁度脚部が入るので、未使用時は場所をとりません。	The angle also changed and the size was exactly right and the legs just entered under the sofa so we will not take place when not in use.	この価格で高さの調整が出来、角度もかえられるのは、お買い得と思います。	I think that it is a bargain that the height can be adjusted at this price and the angle is changed.	None	None	None	None	https://bit.ly/2FIemCC
2799	NESNA, Bedside table	IKEA	yahoo_5	軽量で扱いやすく、デザインも素敵で気に入っております。	It is lightweight, easy to handle, the design is nice and I like it.	None	None	None	None	None	None	None	None	https://bit.ly/2U4UhcC
2916	S-shaped side rack, 3 steps	Smile price of Tarp & Tent	rakuten_2	組み立ては少し苦労しましたが、出来上がりはしっかりしており、お洒落なので大変気に入りました。	Although it was a bit difficult to assemble, I made it fairly solid and I like it very much.	お手ごろなのにごちゃごちゃした寝室がすっきりしたし、安っぽくもなく満足です。	Although it was affordable, the messy bedroom was refreshing and satisfying, not cheaply.	組み立てもカンタン、おしゃれなデザインで満足しています。	Easy to assemble, satisfied with fashionable design.	None	None	None	None	https://bit.ly/2HAJshk
2980	Side table with casters	IRIS OHYAMA	rakuten_3	高さ、天板の大きさとも使い勝手が良くいいです。組み立ても簡単ですぐできました。キャスターだと掃除の時も楽に移動できます。	Usability is good both for height and size of the top board. It was easy to assemble quickly. If you are a caster you can move easily at the time of cleaning.	この価格でこのお品はこの上なくお買い得だと思います！組み立ても女一人で簡単でした！	I think that this item is superbly bargain at this price! It was easy to assemble alone by a woman!	ベッドサイドで使用。色はウォルナット。組み立て簡単、お洒落で使いやすく気に入っています。	Used by the bedside. Walnut color. I like assembling easy, fashionable and easy to use.	None	None	None	None	https://bit.ly/2DsuBB7
2990	Night Table, wooden	ISHIZAKI KAGU	rakuten_10	ベットの横にケータイやメガネ、目覚まし時計を置けるものを探していて、組み立て不要で大きさもバッチリでした。	I was looking for something that could put mobile phones, glasses, alarm clocks next to the bed, it was unnecessary to build and the size was perfect.	可愛くてとても気に入りました。しっかりした作りなのでこれから長く使えそうです。	I love it so cute. Since it is solidly made, it seems that it will be used for a long time from now.	サイズ感がとても良いです。ナチュラルカラーはとても綺麗な色です。	The size feeling is very good. Natural color is a very beautiful color.	None	None	None	None	https://bit.ly/2HtjMmr
2990	Side table, open rack	sotolife	rakuten_16	組み立てのパーツには番号のシールや印刷がされているので組み立てやすい！	The assembly parts are sealed and printed on the number so it's easy to assemble!	とてもしっかりしていますし、出来上がった机に加湿器と下は雑貨をデスプレイしてとても可愛い棚になりました。とても気に入りました。	It is very solid, and I put the humidifier on the finished desk and the miscellaneous goods on the bottom and it became a very cute shelf. I like it very much.	加湿器を置きたかったので、高さも程よく、しっかりしたテーブルが見つかって良かったです！	I wanted to place a humidifier, so the height was reasonable, so it was good to find a solid table!	None	None	None	None	https://bit.ly/2WaJP58
3100	Side / Night table with storage space	HLC	amazon_65	ベタの飼育用に買いました！高さもちょうどよく気に入りました！	I bought it for breeding! I like the height just like it!	None	None	None	None	None	None	None	None	https://amzn.to/2FHYOi5
